OBJECTID,Facility Name,Street Address,City,ZIP Code,County Code,County Name,Type,Category,longitude,latitude,x,y
53,"LA CLINICA DENTAL AT CHILDREN'S HOSPITAL, OAKLAND",747 52Nd St,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.26715,37.83735,-13610715.42,4556473.53
54,LA CLINICA  DE LA RAZA,3451 E 12Th St,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22341,37.77572,-13605846.3,4547790.136
55,UJIMA HOLISTIC FAMILY HEALTH CENTER,9925 International Blvd,Oakland,94603,1,Alameda,Clinic,Community Clinic,-122.16989,37.74326,-13599888.48,4543219.576
56,BEYOND EMANCIPATION TEEN HEALTH CTR.,2647 International Blvd,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.232178,37.780956,-13606822.35,4548527.583
57,TIBURCIO VASQUEZ HEALTH CENTER,22331 Mission Blvd,Hayward,94541,1,Alameda,Clinic,Community Clinic,-122.08685,37.67452,-13590644.52,4533547.189
58,FAMILY OPTICAL I,3060 E 9Th St,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.2304749,37.77430699,-13606632.77,4547591.134
59,ASHLAND FREE MEDICAL CLINIC,50 E Lewelling Blvd,San Lorenzo,94580,1,Alameda,Clinic,Free Clinic,-122.12083,37.68672,-13594427.15,4535263.193
60,VALLEY PREGNANCY CENTER,7660 Amador Valley Blvd,Dublin,94568,1,Alameda,Clinic,Community Clinic,-121.933224,37.707532,-13573542.95,4538191.177
61,CLINICA ALTA VISTA,1515 Fruitvale Ave,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22513,37.7791,-13606037.77,4548266.175
62,TRI-CITY HEALTH CENTER,39184 State St,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98351,37.5495,-13579140.76,4515978.595
63,TECHNICLINIC,4351 Broadway,Oakland,94611,1,Alameda,Clinic,Community Clinic,-122.254379,37.831642,-13609293.75,4555668.993
64,TIGER HEALTH CLINIC,4610 Foothill Blvd,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.20957,37.77367,-13604305.64,4547501.424
65,AIDS PROJECT OF THE EAST BAY,499 5Th St Ste 306,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.276226,37.798415,-13611725.75,4550986.918
66,ALTA BATES SUMMIT PERINATAL CENTER,350 30Th St,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.26404,37.81892,-13610369.21,4553876.065
67,HOPE PROJECT,39500 Liberty St,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.977364,37.548453,-13578456.59,4515831.589
68,LIFELONG MEDICAL CARE - DOWNTOWN OAKLAND CLINIC,616 16Th St,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.274352,37.807256,-13611517.14,4552232.513
69,WESTCOAST CHILDREN'S CLINIC,3301 E 12Th St,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.22499,37.77617,-13606022.19,4547853.512
70,UJIMA HOLISTIC FAMILY HEALTH CENTER,10520 Macarthur Blvd,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.152751,37.74324,-13597980.58,4543216.76
71,"ORGANIZATION TO ACHIEVE SOLUTIONS IN SUBSTANCE ABUSE, INC.",27Th St,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26892,37.81629,-13610912.45,4553505.454
72,NATIVE AMERICAN HEALTH CENTER,2950 International Blvd,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.2284,37.77892,-13606401.79,4548240.823
73,AIDS PROJECT OF THE EAST BAY,1320 Webster St,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.26908,37.80285,-13610930.26,4551611.74
74,CENTER FOR ELDERS INDEPENDENCE,7200 Bancroft Ave,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.17767,37.76647,-13600754.55,4546487.476
75,ORDER OF MALTA OF NORTHERN CALIFORNIA,2121 Harrison St,Oakland,94612,1,Alameda,Clinic,Free Clinic,-122.26253,37.81075,-13610201.12,4552724.819
76,SAVE A LIFE WELLNESS CENTER,2580 San Pablo Ave,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.275275,37.816921,-13611619.89,4553594.371
77,AXIS COMMUNITY HEALTH,6666 Owens Dr,Pleasanton,94588,1,Alameda,Clinic,Community Clinic,-121.910061,37.69852,-13570964.46,4536923.201
78,THE WRIGHT INSTITUTE,1950 Addison St,Berkeley,94704,1,Alameda,Clinic,Community Clinic,-122.2717486,37.8704711,-13611227.33,4561143.143
79,THE CHARLOTTE MAXWELL COMPLEMENTARY CLINIC,610 16Th St,Oakland,94612,1,Alameda,Clinic,Free Clinic,-122.27429,37.80723,-13611510.24,4552228.85
80,AHF HEALTHCARE CENTER - OAKLAND,400 30Th St,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.2646799,37.8190119,-13610440.45,4553889.015
81,LIFELONG MEDICAL CARE - HOWARD DANIEL CLINIC,9933 Macarthur Blvd,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.1566,37.74638,-13598409.05,4543658.803
82,BREATHMOBILE - MOBILE PRIMARY CARE CLINIC,920 Peralta St,Oakland,94607,1,Alameda,Clinic,Free Clinic,-122.2965249,37.8081661,-13613985.41,4552360.745
83,SAN LORENZO HIGH HEALTH CENTER,50 E Lewelling Blvd,San Lorenzo,94580,1,Alameda,Clinic,Community Clinic,-122.1229557,37.6885922,-13594663.78,4535526.554
84,CAL-PEP,1504 Franklin St,Oakland,94612,1,Alameda,Clinic,Free Clinic,-122.269213,37.804984,-13610945.07,4551912.4
85,FRANK KIANG MEDICAL CENTER,250 E 18Th St,Oakland,94606,1,Alameda,Clinic,Community Clinic,-122.25266,37.79998,-13609102.4,4551207.398
86,OKORONKWO MEDICAL CLINIC,10500 Macarthur Blvd,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.1525255,37.7434149,-13597955.48,4543241.382
87,ROOSEVELT HEALTH CENTER,1926 19Th Ave,Oakland,94606,1,Alameda,Clinic,Community Clinic,-122.2368307,37.79078678,-13607340.29,4549912.309
88,"ASIAN MEDICAL CLINIC OF FREMONT, INC",46356 Warm Springs Blvd,Fremont,94539,1,Alameda,Clinic,Community Clinic,-121.9306717,37.4920634,-13573258.83,4507917.126
89,VALLEY PREGNANCY CENTER,5776 Stoneridge Mall Rd,Pleasanton,94588,1,Alameda,Clinic,Community Clinic,-121.9311828,37.69239795,-13573315.73,4536061.925
90,ON LOK SENIOR HEALTH SERVICES PERALTA CENTER,3683 Peralta Blvd,Fremont,94536,1,Alameda,Clinic,Community Clinic,-122.00458,37.55929,-13581486.26,4517353.282
91,PREVENTIVE CARE PATHWAYS,5709 Market St,Oakland,94608,1,Alameda,Clinic,Community Clinic,-122.27454,37.84176,-13611538.07,4557095.157
92,CAL-PEP,2811 Adeline St,Oakland,94608,1,Alameda,Clinic,Free Clinic,-122.2826143,37.82058246,-13612436.9,4554110.34
93,TRI-CITY HEALTH CENTER - MAIN STREET VILLAGE,3701 Main St,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.956337,37.533773,-13576115.88,4513770.627
94,ROOTS COMMUNITY HEALTH CENTER,9925 International Blvd,Oakland,94603,1,Alameda,Clinic,Community Clinic,-122.1697924,37.743235,-13599877.62,4543216.056
95,"TIBURCIO VASQUEZ HEALTH CENTER, INC. - SILVA CAMPUS",680 W Tennyson Rd,Hayward,94544,1,Alameda,Clinic,Community Clinic,-122.0685786,37.6314711,-13588610.55,4527494.353
96,"PLANNED PARENTHOOD MAR MONTE, INC. - ""WEST OAKLAND""",1682 7Th St,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.3003102,37.8066084,-13614406.79,4552141.269
97,HAVENSCOURT HEALTH CENTER,1390 66Th Ave,Oakland,94621,1,Alameda,Clinic,Community Clinic,-122.1932359,37.7617723,-13602487.34,4545825.971
98,ROLLAND AND KATHRYN LOWE MEDICAL CENTER,835 Webster St,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.27122,37.79952,-13611168.49,4551142.592
99,ANN MARTIN CENTER,1375 55Th St,Emeryville,94608,1,Alameda,Clinic,Community Clinic,-122.28599,37.83777,-13612812.67,4556532.731
100,HAWTHORNE ELEMENTARY SCHOOL - BASED CLINIC,1700 28Th Ave,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.2260608,37.78237296,-13606141.38,4548727.159
101,DAVIS STREET PRIMARY CARE CLINIC,3081 Teagarden St,San Leandro,94577,1,Alameda,Clinic,Community Clinic,-122.1533178,37.70492702,-13598043.67,4537824.646
102,"TIBURCIO VASQUEZ HEALTH CENTER, INC",16110 E 14Th St,San Leandro,94578,1,Alameda,Clinic,Community Clinic,-122.11768,37.69773,-13594076.5,4536812.058
103,TRI-CITY HEALTH CENTER,1999 Mowry Ave,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98059,37.55815,-13578815.71,4517193.197
104,BERKELEY HEALTH CENTER,10850 Macarthur Blvd,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.14973,37.74138,-13597644.28,4542954.922
105,AMADOR HEALTH CLINIC,11960 State Hwy 88,Jackson,95642,5,Amador,Clinic,Community Clinic,-120.75967,38.35689,-13442903.53,4629965.073
106,OROVILLE FAMILY HEALTH CENTER,1453 Downer St,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.55362,39.51314,-13531285.61,4795442.549
107,CHICO FEMINIST WOMENS HEALTH CENTER,1469 Humboldt Rd,Chico,95928,7,Butte,Clinic,Community Clinic,-121.81582,39.73521,-13560473.57,4827537.245
108,LA PALOMA FAMILY HEALTH CENTER,1574 Kirk Rd,Gridley,95948,7,Butte,Clinic,Community Clinic,-121.650669,39.363062,-13542089.05,4773810.58
109,"FEATHER RIVER TRIBAL HEALTH, INC.",2145 5Th Ave,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.5647,39.50353,-13532519.03,4794055.983
110,PLANNED PARENTHOOD OF THE NORTH VALLEY-CHICO CTR,556 Vallombrosa Ave,Chico,95926,7,Butte,Clinic,Community Clinic,-121.83324,39.73508,-13562412.76,4827518.427
111,AMPLA HEALTH GRIDLEY MEDICAL,520 Kentucky St,Gridley,95948,7,Butte,Clinic,Community Clinic,-121.69653,39.36385,-13547194.28,4773924.04
112,COMMUNITY COMPREHENSIVE CARE - PEDIATRICS,2990 Oro Dam Blvd E,Oroville,95966,7,Butte,Clinic,Community Clinic,-121.54117,39.5117,-13529899.68,4795234.768
113,"AMPLA HEALTH CHICO MEDICAL, DENTAL & PEDIATRICS",680 Cohasset Rd,Chico,95926,7,Butte,Clinic,Community Clinic,-121.8461605,39.75277874,-13563851.06,4830080.776
114,FAMILY PRACTICE ASSOCIATES,2721 Olive Hwy,Oroville,95966,7,Butte,Clinic,Community Clinic,-121.54327,39.50514,-13530133.45,4794288.266
115,COMMUNITY COMPREHENSIVE CARE,1611 Feather River Blvd,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.57004,39.50602,-13533113.47,4794415.231
116,"FEATHER RIVER FAMILY HEALTH CENTER, INC",5734 Canyon View Dr,Paradise,95969,7,Butte,Clinic,Community Clinic,-121.56923,39.75893,-13533023.3,4830971.48
117,"NORTHERN VALLEY INDIAN HEALTH, INC",845 W East Ave,Chico,95926,7,Butte,Clinic,Community Clinic,-121.87641,39.74774,-13567218.42,4829351.222
118,COMMUNITY COMPREHENSIVE CARE WALK-IN CLINIC,900 Oro Dam Blvd W,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.58501,39.49812,-13534779.93,4793275.493
119,WOMEN'S RESOURCE CLINIC,101 W 2Nd Ave,Chico,95926,7,Butte,Clinic,Community Clinic,-121.846683,39.73861,-13563909.22,4828029.433
120,COMMUNITY COMPREHENSIVE CARE OBGYN,1611 Feather River Blvd,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.57004,39.50602,-13533113.47,4794415.231
121,AMPLA HEALTH OROVILLE MEDICAL & DENTAL,2800 Lincoln St,Oroville,95966,7,Butte,Clinic,Community Clinic,-121.55168,39.5023,-13531069.65,4793878.528
122,WOMEN'S RESOURCE CLINIC,115 W 2Nd Ave,Chico,95926,7,Butte,Clinic,Community Clinic,-121.84702,39.73859,-13563946.74,4828026.538
123,AMPLA HEALTH CHICO DENTAL,236 W East Ave,Chico,95926,7,Butte,Clinic,Community Clinic,-121.8652996,39.75554085,-13565981.61,4830480.722
124,PLANNED PARENTHOOD OF THE NORTH VALLEY- CHICO CTR.,3100 Cohasset Rd,Chico,95973,7,Butte,Clinic,Community Clinic,-121.8429338,39.7718447,-13563491.86,4832841.801
125,CHILDREN'S HEALTH CENTER,277 Cohasset Rd,Chico,95926,7,Butte,Clinic,Community Clinic,-121.8519271,39.7517269,-13564492.99,4829928.476
126,COMMUNITY MEDICAL CENTERS - SAN ANDREAS,265 W Saint Charles St,San Andreas,95249,9,Calaveras,Clinic,Community Clinic,-120.68546,38.197375,-13434642.51,4607345.196
127,WEST POINT COMMUNITY CLINIC,20693 Hwy 26,West Point,95255,9,Calaveras,Clinic,Community Clinic,-120.55134,38.37796,-13419712.34,4632956.604
128,SAN ANDREAS COMMUNITY CLINIC,265 W Saint Charles St,San Andreas,95249,9,Calaveras,Clinic,Community Clinic,-120.685479,38.197492,-13434644.63,4607361.768
129,MACT MEDICAL CLINIC SAN ANDREAS,1113 Highway 49,San Andreas,95249,9,Calaveras,Clinic,Community Clinic,-120.69723,38.20821,-13435952.74,4608880.072
130,AMPLA HEALTH COLUSA MEDICAL & DENTAL,555 Fremont St,Colusa,95932,11,Colusa,Clinic,Community Clinic,-122.01115,39.20789,-13582217.61,4751493.192
131,COLUSA INDIAN HEALTH CLINIC DBA ARBUCKLE MEDICAL O,900 King St,Arbuckle,95912,11,Colusa,Clinic,Community Clinic,-122.06093,39.01456,-13587759.1,4723756.649
132,AMPLA HEALTH ARBUCKLE MEDICAL & DENTAL,89 Putnam Way.,Arbuckle,95912,11,Colusa,Clinic,Community Clinic,-122.061249,39.02029,-13587794.61,4724577.625
133,PLANNED PARENTHOOD OF CONTRA COSTA,1357 Oakland Blvd,Walnut Creek,94596,13,Contra Costa,Clinic,Community Clinic,-122.0697608,37.898476,-13588742.15,4565093.079
134,PLANNED PARENTHOOD OF CONTRA COSTA-RICHMOND CENTER,2970 Hilltop Mall Rd Ste 307,Richmond,94806,13,Contra Costa,Clinic,Community Clinic,-122.329281,37.978063,-13617631.8,4576326.606
135,PLANNED PARENTHOOD - ANTIOCH,1104 Buchanan Rd,Antioch,94509,13,Contra Costa,Clinic,Community Clinic,-121.82325,37.99868,-13561300.7,4579238.63
136,PLANNED PARENTHOOD SAN RAMON CENTER,130 Ryan Industrial Ct,San Ramon,94583,13,Contra Costa,Clinic,Community Clinic,-121.98209,37.77609,-13578982.69,4547842.243
137,PLANNED PARENTHOOD OF CONTRA COSTA-CONCORD CENTER,2185 Pacheco St,Concord,94520,13,Contra Costa,Clinic,Community Clinic,-122.0348,37.97866,-13584850.33,4576410.914
138,WEST COAST CHILDRENS CLINIC,545 Ashbury Ave,El Cerrito,94530,13,Contra Costa,Clinic,Community Clinic,-122.294789,37.905834,-13613792.17,4566131.136
139,"ROSSMOOR MEDICAL CENTER, INC.",1220 Rossmoor Pkwy,Walnut Creek,94595,13,Contra Costa,Clinic,Community Clinic,-122.06971,37.8791,-13588736.5,4562360.04
140,CONCORD PUBLIC HEALTH CLINIC,2355 Stanwell Cir,Concord,94520,13,Contra Costa,Clinic,Community Clinic,-122.048748,37.982367,-13586403.02,4576934.45
141,PITTSBURG PUBLIC HEALTH CLINIC,2311 Loveridge Rd,Pittsburg,94553,13,Contra Costa,Clinic,Community Clinic,-121.87135,38.00629,-13566655.17,4580313.704
142,RICHMOND PUBLIC HEALTH CLINIC,100 38Th St,Richmond,94805,13,Contra Costa,Clinic,Community Clinic,-122.33339,37.93356,-13618089.22,4570043.61
143,LIFE LONG BROOKSIDE COMMUNITY HEALTH CENTER SAN PABLO,2023 Vale Rd,San Pablo,94806,13,Contra Costa,Clinic,Community Clinic,-122.33801,37.95356,-13618603.51,4572866.767
144,LA CLINICA PITTSBURG - MEDICAL,2240 Gladstone Dr,Pittsburg,94565,13,Contra Costa,Clinic,Community Clinic,-121.86644,38.00661,-13566108.59,4580358.913
145,LA CLINICA PITTSBURG  DENTAL,339 E Leland Rd,Pittsburg,94565,13,Contra Costa,Clinic,Community Clinic,-121.88733,38.01137,-13568434.05,4581031.424
146,OPTIONS FOR WOMEN OF CALIFORNIA,4991 Clayton Rd,Concord,94521,13,Contra Costa,Clinic,Community Clinic,-121.97315,37.95787,-13577987.49,4573475.254
147,LA CLINICA MONUMENT,2100 Monument Blvd,Pleasant Hill,94523,13,Contra Costa,Clinic,Community Clinic,-122.0527,37.94662,-13586842.95,4571887.041
148,BAART-ANTIOCH,3707 Sunset Ln,Antioch,94509,13,Contra Costa,Clinic,Community Clinic,-121.8042,37.9845,-13559180.06,4577235.701
149,BAART RICHMOND CLINIC,1313 Cutting Blvd,Richmond,94804,13,Contra Costa,Clinic,Community Clinic,-122.3565037,37.92557104,-13620662.22,4568916.12
150,SUTTER DELTA COMMUNITY CLINIC,3901 Lone Tree Way,Antioch,94509,13,Contra Costa,Clinic,Community Clinic,-121.805314,37.982469,-13559304.07,4576948.853
151,BROOKSIDE COMMUNITY HEALTH CENTER-RICHMOND,1149 Macdonald Avenue,Richmond,94801,13,Contra Costa,Clinic,Community Clinic,-122.3585519,37.9357954,-13620890.22,4570359.116
152,PLANNED PARENTHOOD:  SHASTA-DIABLO,101 Broadway,Richmond,94804,13,Contra Costa,Clinic,Community Clinic,-122.3465357,37.93261945,-13619552.59,4569910.863
153,LIFELONG BROOKSIDE COMMUNITY HEALTH CENTER - RICHMOND,1030 Nevin Ave,Richmond,94801,13,Contra Costa,Clinic,Community Clinic,-122.35917,37.9368,-13620959.03,4570500.909
154,PLANNED PARENTHOOD PITTSBURG CENTER,3715 Railroad Ave,Pittsburg,94565,13,Contra Costa,Clinic,Community Clinic,-121.89322,38.00657,-13569089.72,4580353.262
155,PLANNED PARENTHOOD EL CERRITO CENTER,320 El Cerrito Plz,El Cerrito,94530,13,Contra Costa,Clinic,Community Clinic,-122.299043,37.8996631,-13614265.73,4565260.548
156,LA CLINICA MONUMENT,2000 Sierra Rd,Concord,94518,13,Contra Costa,Clinic,Community Clinic,-122.0367198,37.9526152,-13585064.05,4572733.381
157,LA CLINICA OAKLEY,2021 Main St,Oakley,94561,13,Contra Costa,Clinic,Community Clinic,-121.7329198,38.0040564,-13551245.19,4579998.148
158,PLANNED PARENTHOOD: SHASTA-DIABLO,340 Marina Way,Richmond,94801,13,Contra Costa,Clinic,Community Clinic,-122.355961,37.936986,-13620601.81,4570527.162
