Facility_Name,City,ZIP_Code,County_Code,County_Name,Type,Category,longitude,latitude,x,y
CENTER FOR ELDERS INDEPENDENCE,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.17767,37.76647,-13600754.55,4546487.476
ORDER OF MALTA OF NORTHERN CALIFORNIA,Oakland,94612,1,Alameda,Clinic,Free Clinic,-122.26253,37.81075,-13610201.12,4552724.819
SAVE A LIFE WELLNESS CENTER,Oakland,94612,1,Alameda,Clinic,Community Clinic,-122.275275,37.816921,-13611619.89,4553594.371
AXIS COMMUNITY HEALTH,Pleasanton,94588,1,Alameda,Clinic,Community Clinic,-121.910061,37.69852,-13570964.46,4536923.201
THE WRIGHT INSTITUTE,Berkeley,94704,1,Alameda,Clinic,Community Clinic,-122.2717486,37.8704711,-13611227.33,4561143.143
THE CHARLOTTE MAXWELL COMPLEMENTARY CLINIC,Oakland,94612,1,Alameda,Clinic,Free Clinic,-122.27429,37.80723,-13611510.24,4552228.85
AHF HEALTHCARE CENTER - OAKLAND,Oakland,94609,1,Alameda,Clinic,Community Clinic,-122.2646799,37.8190119,-13610440.45,4553889.015
LIFELONG MEDICAL CARE - HOWARD DANIEL CLINIC,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.1566,37.74638,-13598409.05,4543658.803
BREATHMOBILE - MOBILE PRIMARY CARE CLINIC,Oakland,94607,1,Alameda,Clinic,Free Clinic,-122.2965249,37.8081661,-13613985.41,4552360.745
SAN LORENZO HIGH HEALTH CENTER,San Lorenzo,94580,1,Alameda,Clinic,Community Clinic,-122.1229557,37.6885922,-13594663.78,4535526.554
CAL-PEP,Oakland,94612,1,Alameda,Clinic,Free Clinic,-122.269213,37.804984,-13610945.07,4551912.4
FRANK KIANG MEDICAL CENTER,Oakland,94606,1,Alameda,Clinic,Community Clinic,-122.25266,37.79998,-13609102.4,4551207.398
OKORONKWO MEDICAL CLINIC,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.1525255,37.7434149,-13597955.48,4543241.382
ROOSEVELT HEALTH CENTER,Oakland,94606,1,Alameda,Clinic,Community Clinic,-122.2368307,37.79078678,-13607340.29,4549912.309
"ASIAN MEDICAL CLINIC OF FREMONT, INC",Fremont,94539,1,Alameda,Clinic,Community Clinic,-121.9306717,37.4920634,-13573258.83,4507917.126
VALLEY PREGNANCY CENTER,Pleasanton,94588,1,Alameda,Clinic,Community Clinic,-121.9311828,37.69239795,-13573315.73,4536061.925
ON LOK SENIOR HEALTH SERVICES PERALTA CENTER,Fremont,94536,1,Alameda,Clinic,Community Clinic,-122.00458,37.55929,-13581486.26,4517353.282
PREVENTIVE CARE PATHWAYS,Oakland,94608,1,Alameda,Clinic,Community Clinic,-122.27454,37.84176,-13611538.07,4557095.157
CAL-PEP,Oakland,94608,1,Alameda,Clinic,Free Clinic,-122.2826143,37.82058246,-13612436.9,4554110.34
TRI-CITY HEALTH CENTER - MAIN STREET VILLAGE,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.956337,37.533773,-13576115.88,4513770.627
ROOTS COMMUNITY HEALTH CENTER,Oakland,94603,1,Alameda,Clinic,Community Clinic,-122.1697924,37.743235,-13599877.62,4543216.056
"TIBURCIO VASQUEZ HEALTH CENTER, INC. - SILVA CAMPUS",Hayward,94544,1,Alameda,Clinic,Community Clinic,-122.0685786,37.6314711,-13588610.55,4527494.353
"PLANNED PARENTHOOD MAR MONTE, INC. - ""WEST OAKLAND""",Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.3003102,37.8066084,-13614406.79,4552141.269
HAVENSCOURT HEALTH CENTER,Oakland,94621,1,Alameda,Clinic,Community Clinic,-122.1932359,37.7617723,-13602487.34,4545825.971
ROLLAND AND KATHRYN LOWE MEDICAL CENTER,Oakland,94607,1,Alameda,Clinic,Community Clinic,-122.27122,37.79952,-13611168.49,4551142.592
ANN MARTIN CENTER,Emeryville,94608,1,Alameda,Clinic,Community Clinic,-122.28599,37.83777,-13612812.67,4556532.731
HAWTHORNE ELEMENTARY SCHOOL - BASED CLINIC,Oakland,94601,1,Alameda,Clinic,Community Clinic,-122.2260608,37.78237296,-13606141.38,4548727.159
DAVIS STREET PRIMARY CARE CLINIC,San Leandro,94577,1,Alameda,Clinic,Community Clinic,-122.1533178,37.70492702,-13598043.67,4537824.646
"TIBURCIO VASQUEZ HEALTH CENTER, INC",San Leandro,94578,1,Alameda,Clinic,Community Clinic,-122.11768,37.69773,-13594076.5,4536812.058
TRI-CITY HEALTH CENTER,Fremont,94538,1,Alameda,Clinic,Community Clinic,-121.98059,37.55815,-13578815.71,4517193.197
BERKELEY HEALTH CENTER,Oakland,94605,1,Alameda,Clinic,Community Clinic,-122.14973,37.74138,-13597644.28,4542954.922
AMADOR HEALTH CLINIC,Jackson,95642,5,Amador,Clinic,Community Clinic,-120.75967,38.35689,-13442903.53,4629965.073
OROVILLE FAMILY HEALTH CENTER,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.55362,39.51314,-13531285.61,4795442.549
CHICO FEMINIST WOMENS HEALTH CENTER,Chico,95928,7,Butte,Clinic,Community Clinic,-121.81582,39.73521,-13560473.57,4827537.245
LA PALOMA FAMILY HEALTH CENTER,Gridley,95948,7,Butte,Clinic,Community Clinic,-121.650669,39.363062,-13542089.05,4773810.58
"FEATHER RIVER TRIBAL HEALTH, INC.",Oroville,95965,7,Butte,Clinic,Community Clinic,-121.5647,39.50353,-13532519.03,4794055.983
PLANNED PARENTHOOD OF THE NORTH VALLEY-CHICO CTR,Chico,95926,7,Butte,Clinic,Community Clinic,-121.83324,39.73508,-13562412.76,4827518.427
AMPLA HEALTH GRIDLEY MEDICAL,Gridley,95948,7,Butte,Clinic,Community Clinic,-121.69653,39.36385,-13547194.28,4773924.04
COMMUNITY COMPREHENSIVE CARE - PEDIATRICS,Oroville,95966,7,Butte,Clinic,Community Clinic,-121.54117,39.5117,-13529899.68,4795234.768
"AMPLA HEALTH CHICO MEDICAL, DENTAL & PEDIATRICS",Chico,95926,7,Butte,Clinic,Community Clinic,-121.8461605,39.75277874,-13563851.06,4830080.776
FAMILY PRACTICE ASSOCIATES,Oroville,95966,7,Butte,Clinic,Community Clinic,-121.54327,39.50514,-13530133.45,4794288.266
COMMUNITY COMPREHENSIVE CARE,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.57004,39.50602,-13533113.47,4794415.231
"FEATHER RIVER FAMILY HEALTH CENTER, INC",Paradise,95969,7,Butte,Clinic,Community Clinic,-121.56923,39.75893,-13533023.3,4830971.48
"NORTHERN VALLEY INDIAN HEALTH, INC",Chico,95926,7,Butte,Clinic,Community Clinic,-121.87641,39.74774,-13567218.42,4829351.222
COMMUNITY COMPREHENSIVE CARE WALK-IN CLINIC,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.58501,39.49812,-13534779.93,4793275.493
WOMEN'S RESOURCE CLINIC,Chico,95926,7,Butte,Clinic,Community Clinic,-121.846683,39.73861,-13563909.22,4828029.433
COMMUNITY COMPREHENSIVE CARE OBGYN,Oroville,95965,7,Butte,Clinic,Community Clinic,-121.57004,39.50602,-13533113.47,4794415.231
AMPLA HEALTH OROVILLE MEDICAL & DENTAL,Oroville,95966,7,Butte,Clinic,Community Clinic,-121.55168,39.5023,-13531069.65,4793878.528
WOMEN'S RESOURCE CLINIC,Chico,95926,7,Butte,Clinic,Community Clinic,-121.84702,39.73859,-13563946.74,4828026.538
AMPLA HEALTH CHICO DENTAL,Chico,95926,7,Butte,Clinic,Community Clinic,-121.8652996,39.75554085,-13565981.61,4830480.722
PLANNED PARENTHOOD OF THE NORTH VALLEY- CHICO CTR.,Chico,95973,7,Butte,Clinic,Community Clinic,-121.8429338,39.7718447,-13563491.86,4832841.801
CHILDREN'S HEALTH CENTER,Chico,95926,7,Butte,Clinic,Community Clinic,-121.8519271,39.7517269,-13564492.99,4829928.476
COMMUNITY MEDICAL CENTERS - SAN ANDREAS,San Andreas,95249,9,Calaveras,Clinic,Community Clinic,-120.68546,38.197375,-13434642.51,4607345.196
WEST POINT COMMUNITY CLINIC,West Point,95255,9,Calaveras,Clinic,Community Clinic,-120.55134,38.37796,-13419712.34,4632956.604
SAN ANDREAS COMMUNITY CLINIC,San Andreas,95249,9,Calaveras,Clinic,Community Clinic,-120.685479,38.197492,-13434644.63,4607361.768
MACT MEDICAL CLINIC SAN ANDREAS,San Andreas,95249,9,Calaveras,Clinic,Community Clinic,-120.69723,38.20821,-13435952.74,4608880.072
AMPLA HEALTH COLUSA MEDICAL & DENTAL,Colusa,95932,11,Colusa,Clinic,Community Clinic,-122.01115,39.20789,-13582217.61,4751493.192
COLUSA INDIAN HEALTH CLINIC DBA ARBUCKLE MEDICAL O,Arbuckle,95912,11,Colusa,Clinic,Community Clinic,-122.06093,39.01456,-13587759.1,4723756.649
AMPLA HEALTH ARBUCKLE MEDICAL & DENTAL,Arbuckle,95912,11,Colusa,Clinic,Community Clinic,-122.061249,39.02029,-13587794.61,4724577.625
PLANNED PARENTHOOD OF CONTRA COSTA,Walnut Creek,94596,13,Contra Costa,Clinic,Community Clinic,-122.0697608,37.898476,-13588742.15,4565093.079
PLANNED PARENTHOOD OF CONTRA COSTA-RICHMOND CENTER,Richmond,94806,13,Contra Costa,Clinic,Community Clinic,-122.329281,37.978063,-13617631.8,4576326.606
PLANNED PARENTHOOD - ANTIOCH,Antioch,94509,13,Contra Costa,Clinic,Community Clinic,-121.82325,37.99868,-13561300.7,4579238.63
PLANNED PARENTHOOD SAN RAMON CENTER,San Ramon,94583,13,Contra Costa,Clinic,Community Clinic,-121.98209,37.77609,-13578982.69,4547842.243
PLANNED PARENTHOOD OF CONTRA COSTA-CONCORD CENTER,Concord,94520,13,Contra Costa,Clinic,Community Clinic,-122.0348,37.97866,-13584850.33,4576410.914
WEST COAST CHILDRENS CLINIC,El Cerrito,94530,13,Contra Costa,Clinic,Community Clinic,-122.294789,37.905834,-13613792.17,4566131.136
"ROSSMOOR MEDICAL CENTER, INC.",Walnut Creek,94595,13,Contra Costa,Clinic,Community Clinic,-122.06971,37.8791,-13588736.5,4562360.04
CONCORD PUBLIC HEALTH CLINIC,Concord,94520,13,Contra Costa,Clinic,Community Clinic,-122.048748,37.982367,-13586403.02,4576934.45
PITTSBURG PUBLIC HEALTH CLINIC,Pittsburg,94553,13,Contra Costa,Clinic,Community Clinic,-121.87135,38.00629,-13566655.17,4580313.704
RICHMOND PUBLIC HEALTH CLINIC,Richmond,94805,13,Contra Costa,Clinic,Community Clinic,-122.33339,37.93356,-13618089.22,4570043.61
LIFE LONG BROOKSIDE COMMUNITY HEALTH CENTER SAN PABLO,San Pablo,94806,13,Contra Costa,Clinic,Community Clinic,-122.33801,37.95356,-13618603.51,4572866.767
LA CLINICA PITTSBURG - MEDICAL,Pittsburg,94565,13,Contra Costa,Clinic,Community Clinic,-121.86644,38.00661,-13566108.59,4580358.913
LA CLINICA PITTSBURG  DENTAL,Pittsburg,94565,13,Contra Costa,Clinic,Community Clinic,-121.88733,38.01137,-13568434.05,4581031.424
OPTIONS FOR WOMEN OF CALIFORNIA,Concord,94521,13,Contra Costa,Clinic,Community Clinic,-121.97315,37.95787,-13577987.49,4573475.254
LA CLINICA MONUMENT,Pleasant Hill,94523,13,Contra Costa,Clinic,Community Clinic,-122.0527,37.94662,-13586842.95,4571887.041
BAART-ANTIOCH,Antioch,94509,13,Contra Costa,Clinic,Community Clinic,-121.8042,37.9845,-13559180.06,4577235.701
BAART RICHMOND CLINIC,Richmond,94804,13,Contra Costa,Clinic,Community Clinic,-122.3565037,37.92557104,-13620662.22,4568916.12
SUTTER DELTA COMMUNITY CLINIC,Antioch,94509,13,Contra Costa,Clinic,Community Clinic,-121.805314,37.982469,-13559304.07,4576948.853
BROOKSIDE COMMUNITY HEALTH CENTER-RICHMOND,Richmond,94801,13,Contra Costa,Clinic,Community Clinic,-122.3585519,37.9357954,-13620890.22,4570359.116
PLANNED PARENTHOOD:  SHASTA-DIABLO,Richmond,94804,13,Contra Costa,Clinic,Community Clinic,-122.3465357,37.93261945,-13619552.59,4569910.863
LIFELONG BROOKSIDE COMMUNITY HEALTH CENTER - RICHMOND,Richmond,94801,13,Contra Costa,Clinic,Community Clinic,-122.35917,37.9368,-13620959.03,4570500.909
PLANNED PARENTHOOD PITTSBURG CENTER,Pittsburg,94565,13,Contra Costa,Clinic,Community Clinic,-121.89322,38.00657,-13569089.72,4580353.262
PLANNED PARENTHOOD EL CERRITO CENTER,El Cerrito,94530,13,Contra Costa,Clinic,Community Clinic,-122.299043,37.8996631,-13614265.73,4565260.548
LA CLINICA MONUMENT,Concord,94518,13,Contra Costa,Clinic,Community Clinic,-122.0367198,37.9526152,-13585064.05,4572733.381
LA CLINICA OAKLEY,Oakley,94561,13,Contra Costa,Clinic,Community Clinic,-121.7329198,38.0040564,-13551245.19,4579998.148
PLANNED PARENTHOOD: SHASTA-DIABLO,Richmond,94801,13,Contra Costa,Clinic,Community Clinic,-122.355961,37.936986,-13620601.81,4570527.162
PLANNED PARENTHOOD SAN RAMON CENTER,San Ramon,94583,13,Contra Costa,Clinic,Community Clinic,-121.99132,37.77418,-13580010.17,4547573.247
BRIGHTER BEGINNINGS FAMILY HEALTH CLINIC,Richmond,94804,13,Contra Costa,Clinic,Community Clinic,-122.34217,37.93502,-13619066.6,4570249.674
DEL NORTE COMMUNITY HEALTH CENTER,Crescent City,95531,15,Del Norte,Clinic,Community Clinic,-124.203757,41.748229,-13826297.43,5123338.895
SMITH RIVER COMMUNITY HEALTH CENTER,Smith River,95567,15,Del Norte,Clinic,Community Clinic,-124.1462185,41.92663534,-13819892.27,5149995.33
DEL NORTE COMMUNITY HEALTH CENTER,Crescent City,95531,15,Del Norte,Clinic,Community Clinic,-124.1985265,41.77334975,-13825715.17,5127087.801
SUTTER COAST COMMUNTIY CLINIC,Crescent City,95531,15,Del Norte,Clinic,Community Clinic,-124.19285,41.77272,-13825083.27,5126993.802
"UNITED INDIAN HEALTH SERVICES, INC.",Crescent City,95531,15,Del Norte,Clinic,Community Clinic,-124.199081,41.775368,-13825776.9,5127389.059
SHINGLE SPRINGS TRIBAL HEALTH PROGRAM,Shingle Springs,95682,17,El Dorado,Clinic,Community Clinic,-120.9320196,38.6637181,-13462089.39,4673615.172
BARTON FAMILY MEDICINE,S Lake Tahoe,96150,17,El Dorado,Clinic,Community Clinic,-119.99665,38.91478,-13357964.54,4709471.126
BARTON MEMORIAL HOSPITAL CLINIC AT SIERRA AT TAHOE,Twin Bridges,95735,17,El Dorado,Clinic,Community Clinic,-120.0807,38.80035,-13367320.94,4693112.888
GEORGETOWN FAMILY MEDICAL CENTER,Georgetown,95634,17,El Dorado,Clinic,Community Clinic,-120.86247,38.89286,-13454347.16,4706335.542
EL DORADO COUNTY COMMUNITY HEALTH CENTER,Placerville,95667,17,El Dorado,Clinic,Community Clinic,-120.82764,38.70636,-13450469.91,4679696.279
PLACERVILLE HEALTH AND WELLNESS CENTER,Placerville,95667,17,El Dorado,Clinic,Community Clinic,-120.823665,38.696061,-13450027.41,4678227.219
EL DORADO COMMUNITY HEALTH CENTER CAMERION PARK,Cameron Park,95682,17,El Dorado,Clinic,Community Clinic,-120.96672,38.66304,-13465952.22,4673518.499
ORANGE AND BUTLER COMMUNITY HEALTH CENTER,Fresno,93702,19,Fresno,Clinic,Community Clinic,-119.76368,36.72907,-13332030.47,4401408.917
"CENTRAL VALLEY INDIAN HEALTH, INC",Clovis,93612,19,Fresno,Clinic,Community Clinic,-119.7046,36.8307,-13325453.71,4415534.042
SAN JOAQUIN HEALTH CENTER,San Joaquin,93660,19,Fresno,Clinic,Community Clinic,-120.18476,36.6048,-13378904.87,4384162.536
FRESNO COUNTY E.O.C. HEALTH CLINIC,Fresno,93721,19,Fresno,Clinic,Community Clinic,-119.78264,36.74037,-13334141.08,4402978.531
UNITED HEALTH CTRS OF SAN JOAQUIN VALLEY - ORANGE,Orange Cove,93646,19,Fresno,Clinic,Community Clinic,-119.3191,36.62739,-13282540.06,4387295.534
PLANNED PARENTHOOD MAR MONTE-FRESNO-FULTON,Fresno,93728,19,Fresno,Clinic,Community Clinic,-119.80033,36.75218,-13336110.33,4404619.234
UNITED HEALTH CTRS OF SAN JOAQUIN VALLEY - PARLIER,Parlier,93648,19,Fresno,Clinic,Community Clinic,-119.52103,36.60494,-13305018.8,4384181.944
UNITED HEALTH CTRS OF SAN JOAQUIN VALLEY,Huron,93234,19,Fresno,Clinic,Community Clinic,-120.10272,36.20533,-13369772.23,4328910.679
ELM COMMUNITY HEALTH CENTER,Fresno,93706,19,Fresno,Clinic,Community Clinic,-119.79087,36.70171,-13335057.24,4397609.461
"FAMILYFIRST HEALTH CARE, A SERVICE OF PLND PARENT",Fresno,93710,19,Fresno,Clinic,Community Clinic,-119.78151,36.82046,-13334015.29,4414109.979
